Station,Date_parsed,Muntiacus_present,EVI_Silwood,distance_to_road
85,17/11/2025,0,0.679931127,171.86635
85,18/11/2025,0,0.679931127,171.86635
85,19/11/2025,1,0.679931127,171.86635
85,20/11/2025,0,0.679931127,171.86635
85,21/11/2025,0,0.679931127,171.86635
85,22/11/2025,0,0.679931127,171.86635
85,23/11/2025,0,0.679931127,171.86635
85,24/11/2025,1,0.679931127,171.86635
97,08/10/2025,0,0.225648577,33.2697
97,09/10/2025,0,0.225648577,33.2697
97,10/10/2025,0,0.225648577,33.2697
97,11/10/2025,0,0.225648577,33.2697
97,12/10/2025,0,0.225648577,33.2697
97,13/10/2025,0,0.225648577,33.2697
97,14/10/2025,0,0.225648577,33.2697
97,15/10/2025,0,0.225648577,33.2697
97,16/10/2025,0,0.225648577,33.2697
97,17/10/2025,0,0.225648577,33.2697
97,18/10/2025,0,0.225648577,33.2697
97,19/10/2025,0,0.225648577,33.2697
97,20/10/2025,0,0.225648577,33.2697
97,21/10/2025,0,0.225648577,33.2697
97,22/10/2025,0,0.225648577,33.2697
97,23/10/2025,0,0.225648577,33.2697
97,24/10/2025,0,0.225648577,33.2697
97,25/10/2025,1,0.225648577,33.2697
97,26/10/2025,0,0.225648577,33.2697
97,27/10/2025,0,0.225648577,33.2697
97,28/10/2025,1,0.225648577,33.2697
97,29/10/2025,0,0.225648577,33.2697
97,30/10/2025,0,0.225648577,33.2697
97,31/10/2025,0,0.225648577,33.2697
97,01/11/2025,1,0.225648577,33.2697
97,02/11/2025,0,0.225648577,33.2697
97,03/11/2025,1,0.225648577,33.2697
97,04/11/2025,0,0.225648577,33.2697
97,05/11/2025,0,0.225648577,33.2697
97,06/11/2025,1,0.225648577,33.2697
97,07/11/2025,0,0.225648577,33.2697
97,08/11/2025,1,0.225648577,33.2697
97,09/11/2025,0,0.225648577,33.2697
97,10/11/2025,0,0.225648577,33.2697
97,11/11/2025,0,0.225648577,33.2697
97,12/11/2025,0,0.225648577,33.2697
97,13/11/2025,0,0.225648577,33.2697
97,14/11/2025,0,0.225648577,33.2697
97,15/11/2025,0,0.225648577,33.2697
97,16/11/2025,0,0.225648577,33.2697
97,17/11/2025,0,0.225648577,33.2697
97,18/11/2025,0,0.225648577,33.2697
